asset,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,sortino,calmar,calmar_bench,max_dd,max_dd_bench,info_ratio,total_ret,bench_total,n_bars,total_fills,fills_per_day,rebate_ann,spread_ann,n_levels,level_step_bps,order_size,crisis_vol,crisis_trim,ema_len,inv_decay,train_score,train_bars,test_bars,sr_pval,sr_sig,boot_ci_lo,boot_ci_hi,boot_pval,boot_sig,perm_pval,perm_sig,dsr,dsr_sig
TSLA,1.207136,0.625655,0.581481,1.793426,0.957389,2.085129,2.029092,0.940757,0.594914,0.665055,2.025660,2069.645192,51.327154,1594,94770,59.454203,0.000415,1.607024,20,8,0.030000,0.250000,0.100000,10,0.900000,6.721488,2391,1594,0.000000,True,0.940207,2.766272,0.000000,True,0.000000,True,0.000000,False
META,0.726559,0.246593,0.479966,1.963113,0.572398,1.935349,2.052319,0.346225,0.354018,0.712235,2.576308,56.281082,2.950634,1404,60517,43.103276,0.000310,1.083663,20,8,0.030000,0.250000,0.300000,10,0.900000,4.914681,2104,1404,0.000000,True,1.058817,2.978773,0.000000,True,0.000000,True,0.000000,False
NVDA,1.107459,0.663857,0.443602,2.535020,1.357318,2.654311,3.203144,1.109963,0.345741,0.598090,1.990146,173405.123821,1381.023107,2745,137798,50.199636,0.000368,1.293003,20,8,0.030000,0.250000,0.300000,10,0.900000,7.987800,4116,2745,0.000000,True,1.902902,3.254693,0.000000,True,0.000000,True,0.000000,False
AMZN,0.732128,0.296890,0.435239,2.171414,0.905144,2.305194,2.002442,0.597569,0.365618,0.496829,3.054812,4763.110947,30.008477,2915,114930,39.427101,0.000290,0.940229,20,8,0.030000,0.250000,0.100000,10,0.900000,6.550914,4371,2915,0.000000,True,1.534520,2.874539,0.000000,True,0.000000,True,0.000000,False
MSFT,0.643674,0.216370,0.427303,2.301427,0.839709,2.418203,2.494862,0.643130,0.258000,0.336433,3.771267,30697.880360,31.236084,4045,148792,36.784178,0.000274,0.796349,20,8,0.030000,0.250000,0.100000,10,0.900000,6.051459,6067,4045,0.000000,True,1.783676,2.896674,0.000000,True,0.000000,True,0.000000,False
GOOGL,0.698775,0.290083,0.408692,2.495868,0.951092,2.518435,2.774317,0.716774,0.251873,0.404706,3.198769,425.685538,11.354876,2184,77610,35.535714,0.000257,0.899358,20,8,0.030000,0.160000,0.300000,10,0.900000,4.757854,3276,2184,0.000000,True,1.783136,3.318152,0.000000,True,0.000000,True,0.000000,False
AAPL,0.691980,0.286962,0.405017,2.398675,0.937612,2.578800,1.641992,0.542871,0.421427,0.528601,3.159675,286492.004266,182.254094,4576,174544,38.143357,0.000278,0.890632,20,8,0.030000,0.250000,0.300000,10,0.900000,6.236961,6862,4576,0.000000,True,1.885875,2.988440,0.000000,True,0.000000,True,0.000000,False
IWM,0.522762,0.127202,0.395560,2.212643,0.554641,2.401749,1.415844,0.326751,0.369223,0.389294,4.036767,223.134258,2.732014,2609,91208,34.958988,0.000265,0.726013,20,8,0.030000,0.250000,0.300000,10,0.900000,5.371708,3912,2609,0.000000,True,1.503365,2.994377,0.000000,True,0.000000,True,0.000000,False
QQQ,0.582339,0.198596,0.383742,2.559155,0.896283,2.657220,2.643593,0.614931,0.220283,0.322957,4.115561,550.857022,7.610981,2732,87060,31.866764,0.000243,0.690917,20,8,0.030000,0.250000,0.300000,10,0.900000,5.618718,4097,2732,0.000000,True,1.902387,3.327304,0.000000,True,0.000000,True,0.000000,False
XLK,0.596758,0.224036,0.372723,2.563840,0.933726,2.674737,2.507131,0.726927,0.238024,0.308196,3.949811,677.134598,10.559415,2753,84486,30.688703,0.000230,0.709876,20,8,0.030000,0.200000,0.300000,10,0.900000,4.748615,4128,2753,0.000000,True,1.907716,3.364023,0.000000,True,0.000000,True,0.000000,False
XLF,0.473517,0.129721,0.343796,1.889627,0.589356,1.898677,1.087305,0.324263,0.435496,0.400048,3.904077,175.440786,3.125331,2753,81973,29.775881,0.000225,0.645834,20,8,0.030000,0.200000,0.100000,10,0.900000,4.596107,4128,2753,0.000000,True,1.183108,2.776007,0.000000,True,0.000000,True,0.000000,False
SPY,0.493954,0.151809,0.342145,2.672129,0.900153,2.706813,1.964018,0.478519,0.251502,0.317247,4.796676,708.450861,6.519439,3349,92802,27.710361,0.000223,0.553648,20,8,0.030000,0.250000,0.300000,10,0.900000,4.766679,5022,3349,0.000000,True,2.049675,3.406637,0.000000,True,0.000000,True,0.000000,False
XLV,0.426567,0.091082,0.335485,2.529307,0.541440,2.759177,2.168753,0.341409,0.196687,0.266782,4.920674,104.643530,1.704815,2753,75277,27.343625,0.000213,0.554867,20,8,0.030000,0.160000,0.300000,10,0.900000,4.476367,4128,2753,0.000000,True,1.900083,3.270704,0.000000,True,0.000000,True,0.000000,False
DIA,0.444540,0.126979,0.317561,2.455855,0.733916,2.466991,1.540419,0.368988,0.288584,0.344129,4.626523,150.484204,3.195703,2846,73173,25.710822,0.000203,0.528017,20,8,0.030000,0.200000,0.300000,10,0.900000,4.495908,4269,2846,0.000000,True,1.752994,3.318051,0.000000,True,0.000000,True,0.000000,False
ACWI,0.450142,0.143546,0.306596,2.477729,0.773195,2.485529,1.770161,0.453961,0.254294,0.316208,4.401033,24.909233,1.823175,1822,44850,24.615807,0.000193,0.553525,20,8,0.030000,0.160000,0.300000,10,0.900000,3.224534,2731,1822,0.000000,True,1.605077,3.540835,0.000000,True,0.000000,True,0.000000,False
VGK,0.347049,0.100416,0.246633,1.830582,0.516733,1.918884,1.182998,0.285382,0.293364,0.351864,3.363670,17.739573,1.334866,2128,46575,21.886748,0.000166,0.527182,20,8,0.030000,0.160000,0.300000,10,0.900000,2.998528,3192,2128,0.000000,True,1.071218,2.712871,0.000000,True,0.000000,True,0.000000,False
TLT,0.239026,-0.006980,0.246006,1.498830,-0.046425,1.941340,1.166057,-0.015203,0.204987,0.459112,3.778864,8.668272,-0.064108,2392,53238,22.256689,0.000173,0.465204,20,8,0.030000,0.200000,0.300000,10,0.900000,3.820866,3586,2392,0.000000,True,0.908612,2.108517,0.000000,True,0.000000,True,0.000000,False
EFA,0.331185,0.106467,0.224719,1.883906,0.617585,1.863863,1.193916,0.330439,0.277394,0.322198,3.425781,25.133741,1.854892,2483,51973,20.931534,0.000163,0.478217,20,8,0.030000,0.160000,0.300000,10,0.900000,2.976057,3723,2483,0.000000,True,1.191513,2.693938,0.000000,True,0.000000,True,0.000000,False
EEM,0.315016,0.100788,0.214227,1.386841,0.492218,1.491024,0.995757,0.267982,0.316358,0.376102,2.867373,17.176761,1.529174,2320,50324,21.691379,0.000159,0.528143,20,8,0.030000,0.160000,0.100000,10,0.900000,3.170036,3480,2320,0.000000,True,0.742645,2.144439,0.000000,True,0.000000,True,0.000000,False
GLD,0.341679,0.158511,0.183168,2.132911,0.966707,2.251409,2.025455,0.770006,0.168692,0.205856,2.628844,17.677488,2.888536,2159,46647,21.605836,0.000168,0.462102,20,8,0.030000,0.160000,0.300000,10,0.900000,3.279476,3237,2159,0.000000,True,1.482725,2.849704,0.000000,True,0.000000,True,0.000000,False
